reference_filename	reference_sequence_count	reference_size	assembly_filename	assembly_sequence_count	assembly_size	error_count	substitutions	insertions	deletions	largest_indel	extra_assembly_bases	missing_assembly_bases	assembly_fragmentation_count	missing_reference_sequences	junk_contig_count	redundant_contig_count
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/autocycler_fast_2026-07_5.fasta	8	4828490	6	1	4	1	4	0	0	0	0	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/autocycler_fast_2026-07_6.fasta	8	4828491	7	3	4	0	4	0	0	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/autocycler_2026-07_1.fasta	4	5384742	5	0	0	5	3	0	0	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/autocycler_2026-07_2.fasta	4	5384747	0	0	0	0	0	0	0	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/autocycler_2026-07_3.fasta	4	5384747	0	0	0	0	0	0	0	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/autocycler_2026-07_4.fasta	4	5384746	1	0	0	1	1	0	0	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/autocycler_2026-07_5.fasta	4	5384745	2	0	0	2	1	0	0	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/autocycler_2026-07_6.fasta	4	5384745	2	0	0	2	1	0	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/autocycler_2026-07_1.fasta	5	5990196	3	3	0	0	0	0	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/autocycler_2026-07_2.fasta	5	5990193	7	4	0	3	1	0	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/autocycler_2026-07_3.fasta	5	5990194	10	4	2	4	1	0	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/autocycler_2026-07_4.fasta	5	5990196	10	6	2	2	1	0	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/autocycler_2026-07_5.fasta	5	5990194	8	4	1	3	1	0	0	0	0	0	0
Klebsiella_pneumoniae/reference.fasta	5	5990196	Klebsiella_pneumoniae/assemblies/autocycler_2026-07_6.fasta	5	5990195	12	7	2	3	1	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/autocycler_2026-07_1.fasta	2	2972545	0	0	0	0	0	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/autocycler_2026-07_2.fasta	2	2972543	2	0	0	2	1	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/autocycler_2026-07_3.fasta	2	2972544	1	0	0	1	1	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/autocycler_2026-07_4.fasta	2	2972544	1	0	0	1	1	0	0	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/autocycler_2026-07_5.fasta	2	2972543	1	0	0	1	1	0	1	0	0	0	0
Listeria_innocua/reference.fasta	2	2972545	Listeria_innocua/assemblies/autocycler_2026-07_6.fasta	2	2972543	2	0	0	2	1	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/autocycler_2026-07_1.fasta	2	4465805	2	1	0	1	1	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/autocycler_2026-07_2.fasta	2	4465803	4	1	0	3	1	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/autocycler_2026-07_3.fasta	2	4465802	5	1	0	4	1	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/autocycler_2026-07_4.fasta	2	4465804	4	2	0	2	1	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/autocycler_2026-07_5.fasta	2	4465805	2	1	0	1	1	0	0	0	0	0	0
Providencia_rettgeri/reference.fasta	2	4465806	Providencia_rettgeri/assemblies/autocycler_2026-07_6.fasta	2	4465804	3	1	0	2	1	0	0	0	0	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/autocycler_2026-07_1.fasta	8	4828487	7	1	3	3	3	0	0	0	0	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/autocycler_2026-07_2.fasta	8	4828488	5	0	3	2	3	0	0	0	0	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/autocycler_2026-07_3.fasta	8	4828491	7	3	4	0	4	0	0	0	0	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/autocycler_2026-07_4.fasta	8	4828490	6	1	4	1	4	0	0	0	0	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/autocycler_2026-07_5.fasta	8	4828489	7	1	4	2	3	0	0	0	0	0	0
Shigella_flexneri/reference.fasta	8	4828487	Shigella_flexneri/assemblies/autocycler_2026-07_6.fasta	8	4828490	8	3	4	1	4	0	0	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/hybracter_v0.14.0_1.fasta	4	5384746	28	28	0	0	0	0	1	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/hybracter_v0.14.0_2.fasta	4	5384745	35	34	0	1	1	0	1	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/hybracter_v0.14.0_3.fasta	4	5384745	31	30	0	1	1	0	1	0	0	0	0
Enterobacter_hormaechei/reference.fasta	4	5384747	Enterobacter_hormaechei/assemblies/hybracter_v0.14.0_4.fasta	4	5384746	28	28	0	0	0	0	1	0	0	0	0
